Milliseconds,Weight (grams)
20478,-3.306491
20489,-3.188402
20500,-1.516989
20512,-2.552538
20523,-2.743297
20534,-2.815967
20546,-3.833349
20611,-3.070313
20614,-2.570706
20626,-3.197485
20637,-3.01581
20648,-2.743297
20660,-2.543454
20671,-2.470784
20683,-2.325444
20694,-1.444319
20705,-2.534371
20771,-2.970391
20774,-3.379161
20785,-3.515417
20796,-2.861386
20808,-2.034764
20819,-3.197485
20830,-3.360993
20842,-2.825051
20853,-3.306491
20865,-3.061229
20972,-2.94314
20979,-2.625208
20990,-3.215653
21001,-2.906805
21013,-1.834921
21024,-2.17102
21036,-2.952224
21047,-3.778847
21058,-4.05136
21070,-3.506334
21113,-2.7978
21115,-3.588087
21127,-3.71526
21138,-3.179318
21149,-2.270941
21161,-1.507905
21172,-1.853088
21184,-1.762251
21195,-1.480654
21206,-2.38903
21253,-3.56992
21263,-4.178532
21275,-3.669841
21286,-3.279239
21298,-2.65246
21309,-2.198271
21320,-2.125601
21332,-1.044633
21343,-0.8084551
21354,-0.3815182
21399,-2.252774
21400,-3.261072
21411,-3.887852
21423,-3.442747
21434,-3.052145
21446,-1.989345
21457,-1.535156
21468,-2.143769
21480,-2.125601
21496,-2.879554
21549,-3.351909
21559,-2.852302
21571,-1.807669
21582,-1.698664
21594,-2.043847
21605,-3.560836
21616,-3.206569
21628,-2.561622
21639,-2.607041
21651,-2.361779
21699,-3.215653
21707,-3.824265
21719,-3.342826
21730,-1.698664
21742,-2.02568
21753,-2.425365
21764,-2.616124
21776,-2.988559
21787,-2.588873
21799,-2.498035
21846,-2.134685
21856,-1.989345
21867,-2.125601
21878,-2.398114
21890,-3.043061
21901,-3.251988
21912,-3.170234
21924,-2.834135
21935,-3.833349
21947,-4.214867
21998,-3.206569
22004,-3.579004
22015,-3.351909
22026,-3.379161
22038,-3.061229
22049,-2.87047
22061,-1.889423
22072,-2.915889
22087,-2.94314
22095,-2.706962
22149,-3.978689
22152,-2.779632
22163,-2.670627
22174,-2.915889
22186,-2.161936
22197,-2.498035
22209,-3.93327
22220,-3.833349
22231,-3.197485
22243,-2.788716
22350,-2.4617
22357,-2.988559
22368,-2.361779
22379,-1.462486
22391,-0.9719629
22402,-2.379946
22414,-2.407198
22425,-2.434449
22436,-2.31636
22448,-1.907591
22507,-3.515417
22516,-3.315574
22527,-1.507905
22539,-1.962093
22550,-2.134685
22562,-1.662329
22573,-2.016596
22584,-2.488952
22596,-2.498035
22607,-2.788716
22660,-2.743297
22664,-2.7978
22676,-2.38903
22687,-1.417067
22698,-1.344397
22710,-1.998428
22721,-2.65246
22732,-2.688795
22744,-2.189188
22755,-2.670627
22810,-2.934056
22812,-2.815967
22824,-2.125601
22835,-1.680497
22846,-2.507119
22858,-2.207355
22869,-3.124815
22881,-3.71526
22892,-2.434449
22903,-1.853088
22958,-3.697093
22960,-3.688009
22972,-2.924973
22983,-3.188402
22994,-3.488166
23006,-2.906805
23017,-2.24369
23029,-1.916675
23040,-2.298193
23051,-2.688795
23108,-3.697093
23120,-2.416282
23131,-2.552538
23142,-2.052931
23154,-2.507119
23165,-2.815967
23177,-2.379946
23188,-2.143769
23199,-2.579789
23211,-2.361779
23268,-2.307276
23279,-2.17102
23291,-1.426151
23302,-1.780418
23313,-1.526073
23325,-2.280025
23336,-3.624423
23347,-3.115731
23367,-2.661543
23370,-2.743297
23427,-3.415496
23439,-2.31636
23450,-2.352695
23461,-2.280025
23473,-1.516989
23484,-1.698664
23495,-1.88034
23507,-2.216439
23518,-2.679711
23530,-4.00594
