Milliseconds,Weight (grams)
17681,-1.189973
17692,-1.271727
17743,-1.526073
17749,-1.635078
17761,-1.853088
17772,-1.707748
17783,-0.5995286
17795,-0.0272513
17814,-1.171806
17818,-2.152853
17829,-1.235392
17840,-1.226308
17888,-1.716832
17897,-1.589659
17909,-1.598743
17920,-0.5631934
17932,-1.389816
17943,-1.844004
17955,-1.853088
17966,-1.61691
17977,-1.789502
17989,-2.625208
18038,-1.61691
18046,-1.834921
18057,-2.189188
18069,-2.588873
18080,-1.834921
18091,-1.907591
18103,-0.9901304
18114,-1.771334
18126,-2.043847
18137,-1.871256
18187,-1.925758
18194,-1.607826
18206,-0.4723558
18217,-1.453403
18228,-2.071099
18240,-2.407198
18251,-2.434449
18263,-1.853088
18274,-2.479868
18286,-2.161936
18401,-2.398114
18411,-2.843219
18423,-2.979475
18434,-2.02568
18445,-1.453403
18457,-1.707748
18468,-1.88034
18480,-1.635078
18491,-1.989345
18502,-1.780418
18555,-2.352695
18559,-1.825837
18571,-2.09835
18582,-2.298193
18594,-1.780418
18605,-1.653245
18617,-2.207355
18628,-2.043847
18639,-1.580575
18651,-0.2634292
18701,-2.407198
18708,-0.6358636
18719,-1.516989
18731,-2.470784
18742,-1.553324
18754,-1.071884
18765,-2.479868
18776,-2.252774
18788,-3.01581
18799,-3.342826
18853,-1.135471
18856,-1.080968
18868,-0.69945
18879,-1.798586
18890,-1.426151
18902,-1.071884
18913,-0.7085337
18925,0.2815967
18936,-0.3815182
18948,-0.8084551
19003,-1.625994
19005,-2.416282
19016,-1.871256
19027,-1.144554
19039,-1.607826
19050,-1.88034
19062,-0.8720415
19073,-0.9537953
19084,-1.244476
19096,-2.016596
19154,-2.543454
19164,-2.062015
19176,-1.653245
19187,-0.9083766
19199,-1.680497
19210,-2.071099
19221,-1.335314
19233,-1.553324
19244,-0.7539526
19256,-0.2906805
19322,-1.507905
19324,-2.588873
19336,-1.916675
19347,-1.208141
19358,-0.6449473
19370,-1.280811
19381,-2.161936
19393,-2.970391
19404,-1.980261
19415,-1.725915
19470,-2.089266
19473,-2.007512
19484,-1.389816
19495,-0.2270941
19507,-0.3360993
19518,-0.6812824
19530,-0.7176175
19541,-1.462486
19552,-1.707748
19564,-2.02568
19621,-2.616124
19632,-2.761465
19644,-1.844004
19655,-1.771334
19667,-1.444319
19678,-0.9901304
19689,-1.335314
19701,-1.498821
19712,-1.943926
19724,-0.3633506
19782,-1.208141
19792,-1.998428
19804,-1.680497
19815,-1.444319
19826,-1.026466
19838,-0.7812038
19849,-1.25356
19861,-2.180104
19872,-1.635078
19883,-1.971177
19943,-2.325444
19952,-2.370863
19963,-1.47157
19975,-2.007512
19986,-2.543454
19998,-2.370863
20009,-1.716832
20020,-1.362565
20032,-1.725915
20043,-1.798586
20107,-1.589659
20112,-1.3989
20123,-2.071099
20134,-1.916675
20146,-1.816753
20157,-1.32623
20169,-1.716832
20180,-1.943926
20192,-3.097564
20203,-3.451831
20265,-2.352695
20271,-1.32623
20283,-1.389816
20294,-1.353481
20306,-1.862172
20317,-1.68958
